,Player,Tm,Pos,G,GS,Solo,Sk,Int,Year
13712,Coy Wire,ATL,DB,15,0,8.0,0.0,,2010
13715,Antonio Coleman,BUF,DE,8,0,7.0,0.0,,2010
13719,Nick Eason,PIT,RDE,16,5,7.0,1.5,0.0,2010
13720,Vernon Gholston,NYJ,DE,16,2,7.0,0.0,,2010
13721,Howard Green,2TM,DT,11,3,7.0,1.0,,2010
13722,Cedric Griffin,MIN,DB,2,2,7.0,0.0,0.0,2010
13724,Chris Hoke,PIT,NT,15,1,7.0,0.0,,2010
13725,Thomas Howard,OAK,LB,12,0,7.0,0.0,0.0,2010
13726,Brian Jackson,NYG,DB,12,0,7.0,0.0,,2010
13728,Tom Nelson,CIN,DB,8,0,7.0,0.0,,2010
13729,Nate Ness,2TM,DB,4,1,7.0,0.0,,2010
13730,Jarrad Page,NWE,DB,10,1,7.0,0.0,2.0,2010
13732,Brady Poppinga,GNB,LB,6,1,7.0,1.0,,2010
13733,Keiwan Ratliff,CIN,DB,3,0,7.0,0.0,,2010
13734,Perry Riley,WAS,LB,8,0,7.0,0.0,,2010
13735,Clint Sintim,NYG,LB,13,1,7.0,0.0,,2010
13736,Aaron Smith,PIT,LDE,6,6,7.0,0.0,,2010
13737,Cam Thomas,SDG,DT,6,0,7.0,2.0,,2010
13738,Brandon Underwood,GNB,DB,12,0,7.0,0.0,,2010
13739,Cassius Vaughn,DEN,DB,13,0,7.0,0.0,,2010
13740,Gabe Watson,ARI,DT,7,0,7.0,0.0,,2010
13741,Leon Williams,DAL,LB,11,0,7.0,0.0,,2010
13742,Rod Wilson,CHI,DB,15,0,7.0,0.0,,2010
13743,Eric Alexander,2TM,LB,9,0,6.0,0.0,,2010
13744,Atari Bigby,GNB,DB,4,0,6.0,0.0,,2010
13746,Alex Carrington,BUF,DE,9,0,6.0,1.0,0.0,2010
13747,Vinny Ciurciu,DET,LB,10,0,6.0,0.0,,2010
13750,Blake Costanzo,CLE,LB,10,0,6.0,0.0,,2010
13751,Kennard Cox,SEA,DB,11,0,6.0,0.0,0.0,2010
13752,Travis Daniels,KAN,DB,16,0,6.0,0.0,1.0,2010
13755,Travis Goethel,OAK,LB,8,0,6.0,0.0,,2010
13756,Spencer Havner,2TM,LB,6,0,6.0,0.0,,2010
13758,Chris Horton,WAS,DB,7,0,6.0,0.0,,2010
13759,Jerry Hughes,IND,DE,12,0,6.0,0.0,,2010
13760,Linval Joseph,NYG,DT,6,0,6.0,0.0,,2010
13763,Derrick Martin,GNB,DB,5,0,6.0,0.0,1.0,2010
13764,Corey Mays,KAN,LB,14,0,6.0,0.0,,2010
13768,Myron Pryor,NWE,DT,9,2,6.0,0.5,,2010
13771,Shann Schillinger,ATL,DB,15,0,6.0,0.0,,2010
13772,Eugene Sims,STL,LB,9,0,6.0,0.0,0.0,2010
13774,Spencer Adkins,ATL,LB,9,0,5.0,0.0,,2010
13776,Dominique Barber,HOU,DB,8,1,5.0,0.0,,2010
13778,Terrence Cody,BAL,DT,13,1,5.0,0.0,,2010
13779,Jon Condo,OAK,LB,16,0,5.0,0.0,,2010
13780,Leger Douzable,JAX,DE,15,0,5.0,0.0,,2010
13782,Larry Hart,JAX,DE,14,0,5.0,1.5,0.0,2010
13784,Brandon Hughes,PHI,DB,1,0,5.0,0.0,,2010
13785,Bruce Johnson,NYG,DB,6,0,5.0,0.0,,2010
13786,Tank Johnson,CIN,RDT,7,7,5.0,0.0,,2010
13787,Tyrell Johnson,MIN,DB,7,2,5.0,0.0,,2010
13788,Jimmy Kennedy,MIN,DT,9,0,5.0,0.5,,2010
13789,Reshard Langford,KAN,DB,6,0,5.0,0.0,,2010
13790,Kyle Love,NWE,DT,9,1,5.0,1.0,0.0,2010
13791,Aaron Maybin,BUF,DE,11,1,5.0,0.0,,2010
13792,Walter McFadden,OAK,DB,4,0,5.0,0.0,,2010
13793,Tyrone McKenzie,TAM,LB,3,0,5.0,0.0,,2010
13794,Shawne Merriman,SDG,LB,3,1,5.0,0.0,,2010
13796,Antwaun Molden,HOU,DB,14,0,5.0,0.0,,2010
13797,Jesse Nading,HOU,DE,5,0,5.0,0.5,0.0,2010
13798,Randy Phillips,DET,DB,4,0,5.0,0.0,,2010
13799,Jay Richardson,SEA,DE,7,0,5.0,0.0,,2010
13800,Craig Steltz,CHI,DB,9,0,5.0,0.0,,2010
13803,Matt Ware,ARI,DB,14,0,5.0,0.0,,2010
13804,Pat Watkins,SDG,DB,4,0,5.0,0.0,,2010
13805,Jamaal Westerman,NYJ,DE,6,0,5.0,0.0,,2010
13806,Gerris Wilkinson,NYG,LB,12,0,5.0,0.0,,2010
13807,Cary Williams,BAL,DB,13,0,5.0,0.0,,2010
13809,Kion Wilson,SDG,LB,3,0,5.0,0.0,,2010
13811,Pierre Woods,2TM,LB,6,0,5.0,1.0,,2010
13814,Diyral Briggs,3TM,LB,7,0,4.0,0.0,,2010
13816,Michael Coe,2TM,DB,6,0,4.0,0.0,,2010
13817,Landon Cohen,2TM,DT,4,1,4.0,0.0,,2010
13818,Emanuel Cook,NYJ,DB,4,0,4.0,0.0,,2010
13820,Rennie Curran,TEN,LB,9,0,4.0,0.0,,2010
13821,Jacob Cutrera,JAX,LB,8,0,4.0,0.0,,2010
13823,Bruce Davis,OAK,LB,6,0,4.0,0.0,,2010
13825,Marcus Dixon,NYJ,DE,3,1,4.0,1.0,,2010
13826,Fred Evans,MIN,DT,8,0,4.0,0.0,,2010
13829,Junior Galette,NOR,DE,4,0,4.0,0.0,,2010
13832,Michael Hamlin,2TM,DB,6,0,4.0,0.0,,2010
13833,Abdul Hodge,CAR,LB,5,0,4.0,0.0,,2010
13837,Brandon McKinney,BAL,DT,11,4,4.0,0.0,,2010
13838,Prince Miller,DET,DB,4,0,4.0,0.0,0.0,2010
13839,Jarvis Moss,2TM,DE,14,0,4.0,1.0,,2010
13840,Roddrick Muckelroy,CIN,LB,14,0,4.0,0.0,,2010
13841,Mike Newton,IND,DB,12,0,4.0,0.0,,2010
13842,Cyril Obiozor,2TM,LB,8,0,4.0,0.0,,2010
13846,Malcolm Sheppard,2TM,DT,4,0,4.0,0.0,,2010
13847,Austin Spitler,MIA,LB,12,0,4.0,0.0,,2010
13850,Craig Terrill,SEA,DT,12,1,4.0,0.0,0.0,2010
13852,Nate Triplett,IND,LB,5,0,4.0,0.0,,2010
13853,Matt Wilhelm,GNB,LB,7,0,4.0,0.0,,2010
13854,Brandon Williams,DAL,DE,6,0,4.0,0.0,,2010
13856,Al Afalava,IND,DB,4,0,3.0,0.0,,2010
13857,Kevin Alexander,DEN,LBODE,8,0,3.0,0.0,0.0,2010
13858,Colin Allred,TEN,LB,5,0,3.0,0.0,,2010
13859,Stanley Arnoux,NOR,LB,9,0,3.0,0.0,,2010
13860,Ryan Baker,MIA,DE,9,0,3.0,0.0,0.0,2010
13862,Aaron Berry,DET,DB,1,1,3.0,0.0,1.0,2010
13863,Tramaine Brock,SFO,DB,3,0,3.0,0.0,,2010
13864,Nolan Carroll,MIA,DB,13,1,3.0,0.0,1.0,2010
13867,Jeremy Clark,2TM,DT,3,1,3.0,0.0,,2010
13870,Jon Corto,BUF,DB,11,0,3.0,0.0,,2010
13871,Zak DeOssie,NYG,LB,16,0,3.0,0.0,,2010
13873,Phillip Dillard,NYG,LB,7,0,3.0,0.0,,2010
13875,Chris Ellis,BUF,DE,5,1,3.0,1.0,,2010
13876,Rob Francois,GNB,LB,8,1,3.0,0.0,,2010
13877,Thomas Gafford,KAN,LB,16,0,3.0,0.0,,2010
13879,Randall Gay,NOR,DB,4,0,3.0,0.0,,2010
13880,Thaddeus Gibson,SFO,LB,2,0,3.0,0.0,,2010
13881,Brett Goode,GNB,LB,16,0,3.0,0.0,,2010
13882,Amon Gordon,2TM,DT,4,0,3.0,0.0,,2010
13884,Al Harris,MIA,DB,3,0,3.0,0.0,,2010
13887,Victor Harris,WAS,DB,3,1,3.0,0.0,,2010
13888,Marcus Harrison,CHI,DT,5,0,3.0,0.0,0.0,2010
13890,Tye Hill,DET,DB,4,1,3.0,0.0,,2010
13891,Ramon Humber,2TM,LB,5,0,3.0,0.0,,2010
13892,Corvey Irvin,CAR,DT,2,0,3.0,0.0,,2010
13893,Pete Ittersagen,TEN,DB,3,0,3.0,0.0,,2010
13894,Rob Jackson,WAS,DE,2,0,3.0,1.0,,2010
13897,Stanford Keglar,HOU,LB,10,0,3.0,0.0,,2010
13898,Matt Kroul,NYJ,DT,6,0,3.0,0.0,,2010
13901,Vaughn Martin,SDG,DT,10,0,3.0,1.0,,2010
13903,Kyle McCarthy,DEN,DB,8,0,3.0,0.0,,2010
13905,Phillip Merling,MIA,DE,5,0,3.0,0.0,0.0,2010
13906,Jeromy Miles,CIN,DB,6,0,3.0,0.0,,2010
13907,Brandon Moore,SDG,LB,2,0,3.0,0.0,,2010
13908,Derrick Morgan,TEN,DE,4,0,3.0,1.5,0.0,2010
13910,Mike Neal,GNB,LB,2,0,3.0,1.0,,2010
13911,Donnie Nickey,TEN,DB,16,0,3.0,0.0,,2010
13912,Antwan Odom,CIN,DE,4,3,3.0,0.0,0.0,2010
13915,Jason Phillips,BAL,LB,9,0,3.0,0.0,,2010
13916,Brian Price,TAM,DT,5,0,3.0,0.0,,2010
13917,Trevor Pryce,2TM,DE,13,0,3.0,1.0,,2010
13918,Chris Reis,NOR,DB,2,0,3.0,0.0,,2010
13919,Nick Schommer,TEN,DB,13,0,3.0,0.0,,2010
13920,Ryan Sims,TAM,DT,6,1,3.0,0.0,,2010
13925,Curtis Taylor,SFO,DB,5,0,3.0,0.0,,2010
13927,Anthony Toribio,KAN,DT,5,0,3.0,0.0,,2010
13928,David Veikune,DEN,DE,4,0,3.0,0.0,,2010
13929,Corey Wootton,CHI,DE,6,0,3.0,1.0,,2010
13930,Jarius Wynn,GNB,DE,9,0,3.0,1.5,,2010
13932,Jamar Adams,PHI,DB,1,1,2.0,0.0,0.0,2010
13933,Jay Alford,OAK,DT,4,0,2.0,0.0,,2010
13934,Larry Asante,TAM,DB,2,0,2.0,0.0,1.0,2010
13936,Brendon Ayanbadejo,BAL,LB,10,0,2.0,0.0,,2010
13938,Fred Bennett,2TM,DB,9,0,2.0,0.0,,2010
13941,Anthony Bryant,WAS,DT,6,3,2.0,0.0,,2010
13942,Jeremy Cain,JAX,LB,16,0,2.0,0.0,,2010
13944,Caleb Campbell,DET,DB,2,0,2.0,0.0,,2010
13946,Shawn Crable,NWE,DE,6,0,2.0,0.5,,2010
13950,Lionel Dotson,MIA,DT,3,0,2.0,0.0,,2010
13953,Coye Francies,CLE,DB,2,0,2.0,0.0,,2010
13955,Matt Giordano,NOR,DB,9,0,2.0,0.0,,2010
13959,James Holt,SDG,LB,3,0,2.0,0.0,,2010
13961,Kenny Iwebema,ARI,DE,7,0,2.0,0.0,,2010
13962,Edgar Jones,BAL,DE,5,0,2.0,0.0,,2010
13968,Sean Lissemore,DAL,NT,2,0,2.0,0.5,,2010
13972,Chris Maragos,SFO,DB,3,0,2.0,0.0,,2010
13973,Clinton McDonald,CIN,DT,8,0,2.0,0.0,,2010
13975,Steve McLendon,PIT,DT,7,0,2.0,0.0,,2010
13977,Kawika Mitchell,NOR,LB,1,0,2.0,1.0,,2010
13978,Aaron Morgan,JAX,LB,7,0,2.0,0.0,,2010
13981,Karl Paymah,HOU,DB,2,0,2.0,0.0,,2010
13982,David Pender,IND,DB,3,0,2.0,0.0,,2010
13984,Vincent Rey,CIN,LB,2,0,2.0,0.0,,2010
13985,Lee Robinson,DEN,LB,3,0,2.0,0.0,,2010
13988,Anderson Russell,WAS,DB,2,0,2.0,0.0,,2010
13996,Daniel Te'o-Nesheim,PHI,DE,6,1,2.0,1.0,,2010
13998,Isaiah Trufant,NYJ,DB,1,0,2.0,0.0,,2010
13999,Jyles Tucker,SDG,LB,3,0,2.0,1.0,,2010
14001,Dante Wesley,DET,DB,3,0,2.0,0.0,,2010
14003,Jamar Williams,CAR,LB,3,0,2.0,0.0,,2010
14005,Hamza Abdullah,ARI,DB,6,0,1.0,0.0,,2010
14009,K.C. Asiodu,NOR,LB,1,0,1.0,0.0,,2010
14012,Jackie Bates,KAN,DB,2,1,1.0,0.0,0.0,2010
14018,Will Blackmon,NYG,DB,5,0,1.0,0.0,,2010
14021,Crezdon Butler,PIT,DB,4,0,1.0,0.0,,2010
14023,Jorrick Calvin,PHI,DB,12,0,1.0,0.0,,2010
14025,Tony Carter,NWE,DB,2,0,1.0,0.0,,2010
14032,Kenwin Cummings,2TM,DE,5,0,1.0,0.0,,2010
14037,Quintin Demps,HOU,DB,2,0,1.0,0.0,,2010
14041,Dominique Franks,ATL,DB,2,0,1.0,0.0,1.0,2010
14044,Jarron Gilbert,NYJ,DT,1,0,1.0,0.0,,2010
14045,Josh Gordy,GNB,DB,2,0,1.0,0.0,,2010
14051,Clint Gresham,SEA,LB,16,0,1.0,0.0,,2010
14052,Alex Hall,NYG,LB,2,0,1.0,0.0,,2010
14053,Ken Hamlin,2TM,DB,9,0,1.0,0.0,1.0,2010
14055,Cary Harris,BUF,DB,2,0,1.0,0.0,,2010
14064,Josh Hull,STL,LB,1,0,1.0,0.0,,2010
14065,Travis Ivey,CLE,DT,1,1,1.0,0.0,,2010
14068,Jeremy Jarmon,WAS,DE,5,0,1.0,0.5,,2010
14072,Michael Johnson,NYG,DB,2,0,1.0,0.0,,2010
14078,Brandon King,IND,DB,4,0,1.0,0.0,,2010
14079,Mitch King,IND,DT,4,0,1.0,0.0,,2010
14082,Paul Kruger,BAL,DE,11,0,1.0,1.0,0.0,2010
14083,Jason Kyle,NOR,LB,9,0,1.0,0.0,,2010
14084,Brandon Lang,SDG,LB,10,0,1.0,1.0,,2010
14087,Louis Leonard,2TM,DT,3,0,1.0,0.0,,2010
14088,Kaluka Maiava,CLE,LB,2,0,1.0,0.0,,2010
14098,Jayme Mitchell,MIN,DE,2,0,1.0,1.0,,2010
14099,Joshua Moore,CHI,DB,3,0,1.0,0.0,,2010
14100,DaJuan Morgan,IND,DB,2,0,1.0,0.0,,2010
14104,C.J. Mosley,JAX,DT,8,0,1.0,0.0,,2010
14105,Marques Murrell,NWE,LB,1,0,1.0,0.0,,2010
14109,Slade Norris,JAX,LB,5,0,1.0,0.0,,2010
14112,Jared Odrick,MIA,DE,1,1,1.0,0.0,,2010
14113,Adewale Ogunleye,HOU,DE,4,0,1.0,0.0,,2010
14115,Akwasi Owusu-Ansah,DAL,DB,7,0,1.0,0.0,,2010
14122,Mike Richardson,IND,DB,1,0,1.0,0.0,,2010
14126,Darrion Scott,WAS,DE,2,0,1.0,0.0,,2010
14128,Mark Simoneau,KAN,LB,1,0,1.0,0.0,,2010
14141,Barry Turner,CHI,DT,2,0,1.0,0.0,,2010
14145,Chip Vaughn,IND,DB,3,0,1.0,0.0,,2010
14146,Jamar Wall,2TM,DB,2,0,1.0,0.0,,2010
14153,Marvin White,CIN,DB,3,0,1.0,0.0,,2010
14155,E.J. Wilson,SEA,DE,2,0,1.0,0.0,,2010
14157,Ashton Youboty,BUF,DB,13,0,1.0,0.0,,2010
14159,Flozell Adams,PIT,RT,16,16,,0.0,,2010
14161,Branden Albert,KAN,LT,15,15,,0.0,,2010
14163,Vince Anderson,TAM,DB,3,0,0.0,0.0,,2010
14167,Jeff Backus,DET,LT,16,16,,0.0,,2010
14171,Darry Beckwith,SDG,LB,1,0,0.0,0.0,,2010
14182,Alvin Bowen,JAX,LB,2,0,0.0,0.0,,2010
14188,Levi Brown,ARI,LT,16,16,,0.0,,2010
14199,Tyson Clabo,ATL,RT,16,16,,0.0,,2010
14208,Anthony Davis,SFO,RT,16,16,,0.0,,2010
14210,David Diehl,NYG,LT,12,12,,0.0,,2010
14216,Jonathan Fanene,CIN,DE,2,0,0.0,0.0,,2010
14218,D'Brickashaw Ferguson,NYJ,LT,16,16,,0.0,,2010
14233,Jordan Gross,CAR,LT,16,16,,0.0,,2010
14238,Ryan Harris,DEN,RT,11,10,,0.0,,2010
14244,David Herron,SDG,LB,2,0,0.0,0.0,,2010
14245,Stephon Heyer,WAS,LT,12,5,,0.0,,2010
14256,A.J. Jefferson,ARI,DB,2,0,0.0,0.0,0.0,2010
14257,Kris Jenkins,NYJ,DT,1,1,0.0,0.0,,2010
14261,Micah Johnson,MIA,LB,1,0,0.0,0.0,,2010
14265,Alex Joseph,SFO,LB,1,0,0.0,0.0,,2010
14266,Winston Justice,PHI,RT,13,13,,0.0,,2010
14271,L.P. Ladouceur,DAL,DE,16,0,0.0,0.0,,2010
14275,Gerard Lawson,PHI,DB,1,0,,0.0,,2010
14276,Trey Lewis,ATL,DT,1,1,0.0,0.0,,2010
14277,Jake Long,MIA,LT,16,16,,0.0,,2010
14284,Ricardo Mathews,IND,DT,8,0,0.0,0.0,,2010
14286,John McCargo,BUF,DT,1,0,0.0,0.0,,2010
14295,Eugene Monroe,JAX,LT,15,15,,0.0,,2010
14300,Steve Octavien,CLE,LB,2,0,0.0,0.0,,2010
14301,Evan Oglesby,MIA,DB,1,0,0.0,0.0,,2010
14302,Michael Oher,BAL,LT,16,16,,0.0,,2010
14306,Donald Penn,TAM,LT,16,16,,0.0,,2010
14319,Clifton Ryan,STL,DT,1,0,,0.0,,2010
14324,Geoff Schwartz,CAR,RG/RT,16,16,,0.0,,2010
14325,Andrew Sendejo,DAL,DB,2,0,0.0,0.0,,2010
14327,Rich Seubert,NYG,C/LG,16,16,,0.0,,2010
14335,John St. Clair,CLE,RT,11,10,,0.0,,2010
14337,Jon Stinchcomb,NOR,RT,16,16,,0.0,,2010
14345,Jeremy Trueblood,TAM,RT,14,7,,0.0,,2010
14349,Jared Veldheer,OAK,LT,16,11,,0.0,,2010
14362,Andrew Whitworth,CIN,LT,16,16,,0.0,,2010
14365,Garry Williams,CAR,RT,16,11,,0.0,,2010
14370,Eric Winston,HOU,RT,16,16,,0.0,,2010
14373,Damien Woody,NYJ,RT,13,13,,0.0,,2010
14376,D'Qwell Jackson,CLE,MLB,16,16,116.0,3.5,1.0,2011
14377,NaVorro Bowman,SFO,LILB,16,16,111.0,2.0,0.0,2011
14378,James Laurinaitis,STL,MLB,16,16,105.0,3.0,2.0,2011
14379,Derrick Johnson,KAN,RILB,16,16,104.0,2.0,2.0,2011
14380,James Anderson,CAR,LLB,16,16,98.0,1.5,2.0,2011
14381,London Fletcher,WAS,LLB,16,16,96.0,1.5,2.0,2011
14382,Daryl Washington,ARI,RILB,15,14,95.0,5.0,2.0,2011
14383,Desmond Bishop,GNB,RILB,13,13,90.0,5.0,0.0,2011
14384,Chad Greenway,MIN,LLB,16,16,89.0,2.0,0.0,2011
14385,Karlos Dansby,MIA,LILB,16,16,87.0,2.0,1.0,2011
14386,Curtis Lofton,ATL,MLB,16,16,87.0,1.0,2.0,2011
14387,Lance Briggs,CHI,LLB,16,16,86.0,0.0,1.0,2011
14388,Kevin Burnett,MIA,RILB,16,16,84.0,2.5,1.0,2011
14389,Stephen Tulloch,DET,MLB,16,16,84.0,3.0,2.0,2011
14390,Brian Urlacher,CHI,MLB,16,16,84.0,0.0,3.0,2011
14391,Jason McCourty,TEN,LCB,15,15,83.0,1.0,2.0,2011
14392,Charles Tillman,CHI,RCB,16,16,83.0,1.0,3.0,2011
14393,Antrel Rolle,NYG,FS,16,16,82.0,0.0,2.0,2011
14394,Sean Weatherspoon,ATL,LLB,16,16,82.0,4.0,0.0,2011
14395,Yeremiah Bell,MIA,SS,16,16,81.0,2.0,1.0,2011
14396,Antoine Bethea,IND,FS,16,16,80.0,0.0,0.0,2011
14397,Tyvon Branch,OAK,SS,16,16,80.0,1.0,1.0,2011
14398,E.J. Henderson,MIN,MLB,16,14,80.0,2.0,0.0,2011
14399,Pat Angerer,IND,MLB,16,16,78.0,1.0,1.0,2011
14400,Nick Barnett,BUF,RILB,16,16,78.0,3.0,3.0,2011
14401,Morgan Burnett,GNB,FS,16,16,78.0,1.0,3.0,2011
14402,Donald Butler,SDG,RILB,16,16,78.0,2.0,1.0,2011
14403,George Wilson,BUF,SS,13,13,78.0,0.0,4.0,2011
14404,Rolando McClain,OAK,MLB,15,14,77.0,5.0,0.0,2011
14405,Brian Cushing,HOU,LILB,16,16,76.0,4.0,2.0,2011
14406,Sean Jones,TAM,SS,16,16,76.0,1.0,0.0,2011
14407,Jairus Byrd,BUF,FS,16,16,75.0,1.0,3.0,2011
14408,Kam Chancellor,SEA,SS,15,15,75.0,1.0,4.0,2011
14409,Quintin Mikell,STL,FS,16,16,75.0,1.0,2.0,2011
14410,Michael Boley,NYG,MLB,14,13,74.0,1.0,0.0,2011
14411,Daryl Smith,JAX,LLB,16,16,74.0,3.5,1.0,2011
14412,Patrick Willis,SFO,RILB,13,13,74.0,2.0,1.0,2011
14413,Roman Harper,NOR,SS,16,16,73.0,7.5,0.0,2011
14414,David Hawthorne,SEA,MLB,15,14,73.0,2.0,3.0,2011
14415,DeAndre Levy,DET,RLB,16,16,73.0,1.0,1.0,2011
14416,Jordan Babineaux,TEN,SS,16,14,72.0,0.0,1.0,2011
14417,Ray Lewis,BAL,RILB,12,12,72.0,2.0,1.0,2011
14418,Ryan Clark,PIT,FS,16,16,71.0,1.0,1.0,2011
14419,Dawan Landry,JAX,FS,16,16,71.0,0.5,2.0,2011
14420,Sean Lee,DAL,RILB,15,15,71.0,0.0,4.0,2011
14421,Eric Weddle,SDG,FS,16,16,70.0,0.0,7.0,2011
14422,D.J. Williams,DEN,ROLB,13,13,70.0,5.0,0.0,2011
14423,Tim Jennings,CHI,LCB,16,15,69.0,0.0,2.0,2011
14424,Richard Marshall,ARI,LCB,16,9,69.0,2.0,3.0,2011
14425,Paul Posluszny,JAX,MLB,16,16,69.0,2.0,2.0,2011
14426,Earl Thomas,SEA,FS,16,16,69.0,0.0,2.0,2011
14427,LeRoy Hill,SEA,LLB,16,16,68.0,4.0,,2011
14428,Lawrence Timmons,PIT,RILB,16,16,68.0,2.0,1.0,2011
14429,Eric Wright,DET,RCB,16,16,68.0,0.0,4.0,2011
14430,Ronde Barber,TAM,RCB,16,16,67.0,1.0,3.0,2011
14431,Jamar Chaney,PHI,MLB,16,16,67.0,1.0,3.0,2011
14432,Thomas DeCoud,ATL,FS,16,15,67.0,0.0,4.0,2011
14433,Darian Stewart,STL,SS,15,13,67.0,3.0,1.0,2011
14434,Wesley Woodyard,DEN,ROLB,15,7,67.0,0.0,0.0,2011
14435,Kyle Arrington,NWE,RCB,16,14,66.0,0.0,7.0,2011
14436,Charles Godfrey,CAR,SS,14,14,66.0,1.0,2.0,2011
14437,Jason Pierre-Paul,NYG,RDE,16,12,66.0,16.5,0.0,2011
14438,Eric Smith,NYJ,FS,16,14,66.0,2.5,1.0,2011
14439,DeAngelo Hall,WAS,LCB,16,16,65.0,0.0,3.0,2011
14440,David Harris,NYJ,RILB,16,16,65.0,5.0,4.0,2011
14441,Devin McCourty,NWE,LCB,14,14,65.0,0.0,2.0,2011
14442,Charlie Peprah,GNB,SS,16,14,65.0,0.0,5.0,2011
14443,Chris Chamberlain,STL,RLB,16,13,64.0,2.0,1.0,2011
14444,Thomas Howard,CIN,RLB,16,15,64.0,1.0,0.0,2011
14445,Malcolm Jenkins,NOR,FS,15,15,64.0,1.0,0.0,2011
14446,Paris Lenon,ARI,LILB,16,16,64.0,3.0,0.0,2011
14447,Joe Mays,DEN,RILB,16,12,64.0,0.0,0.0,2011
14448,Troy Polamalu,PIT,SS,16,16,64.0,1.0,2.0,2011
14449,Takeo Spikes,SDG,LILB,16,16,64.0,1.0,1.0,2011
14450,Charles Woodson,GNB,LCB,15,15,63.0,2.0,7.0,2011
14451,Mathias Kiwanuka,NYG,LLB,16,15,62.0,3.5,1.0,2011
14452,Amari Spievey,DET,SS,15,15,62.0,1.0,3.0,2011
14453,Jovan Belcher,KAN,LILB,16,16,61.0,0.0,0.0,2011
14454,Chris Harris Jr.,DEN,DB,16,4,61.0,0.0,1.0,2011
14455,Gerald Sensabaugh,DAL,FS,16,16,61.0,0.0,2.0,2011
14456,Cary Williams,BAL,RCB,16,16,61.0,0.0,0.0,2011
14457,Jabari Greer,NOR,LCB,16,16,60.0,0.0,1.0,2011
14458,A.J. Jefferson,ARI,LCB,16,7,60.0,0.0,1.0,2011
14459,Michael Griffin,TEN,FS,16,16,59.0,0.0,2.0,2011
14460,Reggie Nelson,CIN,FS,16,16,59.0,2.0,4.0,2011
14461,Patrick Peterson,ARI,RCB,16,16,59.0,1.0,2.0,2011
14462,Kenny Phillips,NYG,SS,15,15,59.0,0.0,4.0,2011
14463,Glover Quin,HOU,SS,16,16,59.0,0.0,0.0,2011
14464,Reed Doughty,WAS,SS/FS,16,11,58.0,0.0,,2011
14465,Cortland Finnegan,TEN,RCB,16,16,58.0,1.0,1.0,2011
14466,Mason Foster,TAM,MLB,16,15,58.0,2.0,1.0,2011
14467,Jerod Mayo,NWE,MLB,14,13,58.0,1.0,2.0,2011
14468,Jacquian Williams,NYG,LB,16,2,58.0,1.0,0.0,2011
14469,Jo-Lonn Dunbar,NOR,LILB,16,14,57.0,1.0,0.0,2011
14470,Kurt Coleman,PHI,SS,15,13,56.0,0.0,4.0,2011
14471,Matt Giordano,OAK,FS,15,9,56.0,1.0,5.0,2011
14472,Steve Gregory,SDG,SS,15,13,56.0,0.0,1.0,2011
14473,Ahtyba Rubin,CLE,RDT,16,16,56.0,5.0,,2011
14474,E.J. Biggers,TAM,DB,16,6,55.0,0.0,1.0,2011
14475,Dashon Goldson,SFO,FS,14,14,55.0,0.0,6.0,2011
14476,Cedric Griffin,MIN,RCB,16,14,55.0,0.0,1.0,2011
14477,Bernard Pollard,BAL,SS,16,13,55.0,2.0,1.0,2011
14478,Dan Connor,CAR,MLB,15,11,54.0,0.0,,2011
14479,Abram Elam,DAL,SS,16,16,54.0,0.0,,2011
14480,James Farrior,PIT,LILB,14,14,54.0,2.0,0.0,2011
14481,Colin McCarthy,TEN,MLB,13,7,54.0,0.0,1.0,2011
14482,Bart Scott,NYJ,LILB,16,15,54.0,4.5,0.0,2011
14483,Lardarius Webb,BAL,LCB,16,15,54.0,1.0,5.0,2011
14484,Calais Campbell,ARI,LDE,16,16,53.0,8.0,1.0,2011
14485,Justin Durant,DET,LLB,13,12,53.0,1.0,0.0,2011
14486,Joe Haden,CLE,LCB,15,15,53.0,1.0,0.0,2011
14487,A.J. Hawk,GNB,LILB,14,14,53.0,1.5,0.0,2011
14488,Rey Maualuga,CIN,MLB,13,13,53.0,0.0,1.0,2011
14489,Calvin Pace,NYJ,ROLB,16,16,53.0,4.5,1.0,2011
14490,Tramon Williams,GNB,RCB,15,15,53.0,0.0,4.0,2011
14491,Craig Dahl,STL,DB,16,3,52.0,0.0,1.0,2011
14492,Sean Smith,MIA,LCB,16,16,52.0,0.0,2.0,2011
14493,Kamerion Wimbley,OAK,RLB,16,16,52.0,7.0,1.0,2011
14494,Brandon Browner,SEA,RCB,16,16,51.0,0.0,6.0,2011
14495,Bryan Scott,BUF,LB,16,7,51.0,1.0,2.0,2011
14496,Anthony Spencer,DAL,LOLB,16,15,51.0,6.0,0.0,2011
14497,Usama Young,CLE,FS,16,8,51.0,0.0,1.0,2011
14498,Akeem Ayers,TEN,LLB,16,16,50.0,2.0,0.0,2011
14499,Kavell Conner,IND,RLB,16,15,50.0,0.0,0.0,2011
14500,Sherrod Martin,CAR,FS,16,16,50.0,0.0,3.0,2011
14501,Jameel McClain,BAL,LILB,16,16,50.0,1.0,1.0,2011
14502,Von Miller,DEN,LILB,15,15,50.0,11.5,0.0,2011
14503,Terrell Suggs,BAL,LOLB,16,16,50.0,14.0,2.0,2011
14504,K.J. Wright,SEA,RLB,16,12,50.0,2.0,0.0,2011
14505,Nate Clements,CIN,LCB,15,15,49.0,1.0,2.0,2011
